45.2	36.0	0.12	0.0
46.8	38.4	0.15	0.0
47.5	39.2	0.20	0.0
49.1	37.8	0.13	0.0
50.3	38.9	0.10	0.0
48.9	35.6	0.05	0.0
47.6	33.4	0.08	0.2
44.2	31.0	0.25	0.8
42.1	30.2	0.30	1.0
43.7	31.9	0.17	0.5
44.8	32.5	0.22	0.1
45.6	33.1	0.18	0.0
46.9	34.7	0.20	0.0
48.3	36.5	0.12	0.0
49.1	37.0	0.14	0.0
50.5	38.4	0.10	0.0
51.2	39.5	0.08	0.0
52.4	40.0	0.09	0.0
54.1	41.2	0.06	0.0
53.6	40.8	0.07	0.0
51.7	38.5	0.13	0.0
50.0	36.0	0.18	0.0
48.5	34.2	0.14	0.0
47.8	32.1	0.16	0.0
46.2	31.5	0.22	0.1
45.3	32.0	0.19	0.2
43.9	30.8	0.25	1.2
42.5	29.0	0.22	2.0
41.3	28.6	0.18	1.5
42.7	29.5	0.20	0.8
44.0	31.3	0.23	0.3
-999.0  -999.0  -999.0  -999.0
